graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","500","916516.2","5105539","19.668400000000002","0","0","pagerankNvgraph [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","500","916516.2","5105539","12.703","62","0.00000148762","pagerankCuda [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","500","916516.2","5105539","9.578599999999998","0","9.85556e-7","pagerankNvgraph [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","500","916516.2","5105539","5.0012","24.2","0.0000042954599999999995","pagerankCuda [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","1000","916603.4","5106039","19.998600000000003","0","0","pagerankNvgraph [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","1000","916603.4","5106039","12.7138","62","0.0000013752200000000001","pagerankCuda [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","1000","916603.4","5106039","10.366800000000001","0","0.00000100421","pagerankNvgraph [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","1000","916603.4","5106039","5.671799999999999","27.4","0.000004563420000000001","pagerankCuda [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","5000","917335.6","5110039","20.2816","0","0","pagerankNvgraph [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","5000","917335.6","5110039","12.750200000000001","61.2","0.0000015064400000000001","pagerankCuda [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","5000","917335.6","5110039","12.5288","0","0.000001045036","pagerankNvgraph [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","5000","917335.6","5110039","7.243599999999999","34.6","0.0000044116400000000005","pagerankCuda [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","10000","918191.8","5115039","19.685200000000002","0","0","pagerankNvgraph [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","10000","918191.8","5115039","12.5456","61.2","0.0000014573799999999999","pagerankCuda [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","10000","918191.8","5115039","12.765","0","0.0000012743","pagerankNvgraph [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","10000","918191.8","5115039","7.9054","38.4","0.00000416234","pagerankCuda [dynamic]"
